"그룹회사코드","마이데이터고객식별자","서비스시작일시","서비스탈퇴일시","서비스가입채널구분","서비스탈퇴채널구분","시스템최종처리일시","시스템최종사용자번호","고객식별자","당행고객여부"
KB0,"2000000000","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000000","1"
KB0,"2000000001","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000001","1"
KB0,"2000000002","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000002","1"
KB0,"2000000003","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000003","1"
KB0,"2000000004","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000004","1"
KB0,"2000000005","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000005","1"
KB0,"2000000006","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000006","1"
KB0,"2000000007","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000007","1"
KB0,"2000000008","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000008","1"
KB0,"2000000009","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000009","1"
KB0,"2000000010","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000010","1"
KB0,"2000000012","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000012","1"
KB0,"2000000013","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000013","1"
KB0,"2000000014","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000014","1"
KB0,"2000000015","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000015","1"
KB0,"2000000016","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000016","1"
KB0,"2000000017","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000017","1"
KB0,"2000000018","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000018","1"
KB0,"2000000019","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000019","1"
KB0,"2000000020","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000020","1"
KB0,"2000000021","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000021","1"
KB0,"2000000022","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000022","1"
KB0,"2000000023","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000023","1"
KB0,"2000000025","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000025","1"
KB0,"2000000026","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000026","1"
KB0,"2000000027","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000027","1"
KB0,"2000000028","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000028","1"
KB0,"2000000029","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000029","1"
KB0,"2000000030","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000030","1"
KB0,"2000000031","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000031","1"
KB0,"2000000032","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000032","1"
KB0,"2000000033","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000033","1"
KB0,"2000000034","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000034","1"
KB0,"2000000035","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000035","1"
KB0,"2000000036","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000036","1"
KB0,"2000000037","20210506130522","","01","","2021-07-22 15:52:22",S016217,"2000000037","1"
