"그룹회사코드","마이데이터고객식별자","포트폴리오회원사진","포트폴리오이미지파일정보내용","캐릭터이미지명","공유이미지구분","별명","메일링이메일주소EC","포트폴리오메일링신청여부","이메일주소공개여부","댓글사용여부","포트폴리오공개여부","포트폴리오공개여부최초등록일시","포트폴리오공개여부최종수정일시","직업군공개여부","성별공개여부","금융비금융자산공개여부","시도공개여부","시군구공개여부","추가정보내용","추가정보공개여부","금융자산소득구간구분","금융비금융자산구간구분","CRM연령구분","회원연령","직업군대분류구분","거주시도구분","거주시군구구분","개인정보수집이용동의여부","개인정보수집이용동의일시","최초접속일시","푸쉬수신여부","푸쉬최초등록일시","푸쉬최종변경일시","시스템최종처리일시","시스템최종사용자번호"
KB0,"2000000000",,"",avatar7.png,"1",뉴욕 아바스 대제,"","0","0","1","1","","","1","0","1","1","0","","0","01","01","00029",27,"07","10","1011","1",,,"1",,,"2021-08-27 01:07",S016217
KB0,"2000000001",,PNG,"","2",test001,"","0","0","1","1","","20211018111606","1","0","1","1","0",test002,"1","04","02","00050",52,"12","10","0000","1",,"20211013155944","1",,,"20211018111606524687",S016217
KB0,"2000000002",,"",avatar40.png,"1",오메기떡이 좋더라,wsGLnmg3X8KK6JQKCYu6/QHzR1m6IUSG6vsxeXtaTws=,"0","0","1","1","","20211005145402","1","0","1","1","0",히히ㄱㄱㄱㄱ,"1","01","02","00029",27,"03","21","2110","1",,,"1",,,"2021-08-27 01:07",S016217
KB0,"2000000003",,"",avatar41.png,"2",ddd,,"0","0","0","1","","20210930180407","1","0","1","1","0",ㅇㅇ,"1","01","02","00040",40,"10","30","3001","1",,,"1",,,"20211018100745413168",S016217
KB0,"2000000004",,"",avatar42.png,"2",ddd##[]{},"","1","0","1","1","","20210907174445","1","0","1","1","0",Do,"1","05","04","00020",20,"12","34","3405","1",,"20211014162212","1",,,"20211014162212296112",S016217
KB0,"2000000005",,"",avatar5.png,"1",°¤¡¿•€£¥¥{},,"0","0","1","1","","20211018142340","1","0","1","1","0",ㅁㄴㅇ,"1","05","04","00049",49,"08","21","2101","1","20211006104046","20211014171516","1",,,"20211018142344253685",S016217
KB0,"2000000006",,"",avatar43.png,"1",신디rr¤¡¿•,WOO94kSthpwggwuUyoEYgwRF2aj5MpII,"1","0","1","1","","20210913161632","1","0","1","1","0",가나다라마가나다라,"1","01","01","00045",45,"08","01","0000","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000007",,"",avatar44.png,"2",별명기억안¥,,"0","0","1","1","","20211012180010","1","0","1","1","1",가사다,"1","05","03","00050",53,"09","00","0000","1",,,,,,"20211012180010727642",S016217
KB0,"2000000008",,PNG,avatar17.png,"1",두브로브니크 비단향나무꽃,"","0","0","1","1","","","1","0","1","1","0","","0","01","01","00030",33,"07","31","3107","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000009",,PNG,avatar16.png,"1",당진 필리프 2세,"","0","0","1","1","","","1","0","1","1","0","","0","05","03","00029",29,"07","27","2711","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000010",,PNG,avatar17.png,"1",리우 데 자네이루 엘리자베스 1세,"","0","0","1","1","","","1","0","1","1","0","","0","03","02","00035",35,"07","10","1011","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000012",,PNG,avatar7.png,"1",상하이 민들레,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00029",28,"11","50","5004","1",,,,,,"2021-08-27 01:07",S016217
