"USER_ID","FIN_ASSET_SECTION_DIV","NONFIN_ASSET_SECTION_DIV","CRM_AGE_DIV","JOB_SECTION_DIV","SIDO_DIV","FINANCE_AMOUNT","CASH_AMOUNT","ACCOUNT_AMOUNT","INVEST_AMOUNT","INSURANCE_AMOUNT","ANNUITY_AMOUNT"
"2000000000","01","01","00029","07","10","24325454.653","1702500.000","6810000.000","6861365.464","3268800.000","5682789.189"
"2000000001","04","02","00050","12","10","77968537.163","4217000.001","33736000.000","20603236.230","10120800.000","9291500.932"
"2000000002","01","02","00029","03","21","26568558.869","324200.001","6484000.000","11203996.265","3242000.000","5314362.603"
"2000000003","01","02","00040","10","30","29630627.794","1896600.000","12644000.000","11992247.794","3097780.000",""
"2000000004","05","04","00020","12","34","274992498.061","21110000.001","84440000.000","75742822.260","23643200.000","70056475.800"
"2000000005","05","04","00049","08","21","210436167.217","19991000.000","79964000.000","79295207.217","31185960.000",""
"2000000006","01","01","00045","08","01","15329562.266","1000000.000","4000000.000","5907847.566","1120000.000","3301714.700"
"2000000007","05","03","00050","09","00","139569897.636","8974500.000","35898000.000","80697177.636","14000220.000",""
"2000000008","01","01","00030","07","31","27635220.897","1955500.000","7822000.000","7665533.338","3754560.000","6437627.559"
"2000000009","05","03","00029","07","27","292406443.404","4089500.000","81790000.000","97783126.700","40895000.000","67848816.704"
"2000000010","03","02","00035","07","10","67478482.631","4778500.000","19114000.000","20219101.804","7645600.000","15721280.827"
"2000000012","02","02","00029","11","50","38748616.590","2763500.000","11054000.000","10569223.860","5305920.000","9055972.730"
"2000000013","01","01","00040","01","34","29107714.778","3676000.000","18380000.000","3194902.252","1838000.000","2018812.526"
"2000000014","02","02","00029","02","34","40644746.146","476700.000","9534000.000","20484743.729","2335830.000","7813472.417"
"2000000015","00","01","00025","07","50","7515022.946","528500.000","2114000.000","2280239.492","845600.000","1746683.454"
"2000000016","01","01","00040","07","10","25576165.676","1821000.000","7284000.000","6873865.247","3496320.000","6100980.429"
"2000000017","02","02","00065","04","01","44951779.426","2434500.000","16230000.000","15258039.294","3976350.000","7052890.132"
"2000000018","05","04","00035","07","10","242106275.517","13197600.000","87984000.000","77094050.230","34313760.000","29516865.287"
"2000000019","05","03","00059","08","57","201848255.646","26678000.000","106712000.000","23959687.028","","44498568.618"
"2000000020","01","02","00020","07","21","24656192.973","392800.000","7856000.000","7979875.846","1924720.000","6502797.127"
"2000000021","05","03","00045","02","01","129464496.880","1811500.000","36230000.000","42982584.088","18115000.000","30325412.792"
"2000000022","03","02","00059","08","57","53986116.338","759800.000","15196000.000","17864130.797","7598000.000","12568185.541"
"2000000023","04","03","00069","04","24","84982866.911","6066000.000","24264000.000","22842743.106","11646720.000","20163403.805"
"2000000025","02","02","00035","01","01","49334136.556","598100.001","11962000.000","20840778.720","5981000.000","9952257.835"
"2000000026","04","03","00040","04","31","93390386.522","3908100.000","26054000.000","28964107.469","13027000.000","21437179.053"
"2000000027","02","01","00055","05","30","46091486.369","1419900.000","9466000.000","26808084.740","4733000.000","3664501.629"
"2000000028","02","02","00025","05","44","46389659.279","1967700.000","13118000.000","13951482.252","6559000.000","10793477.027"
"2000000029","01","01","00060","13","46","10440269.639","166100.000","3322000.000","3365373.144","813890.000","2772906.495"
"2000000030","02","02","00025","08","57","33331275.635","506799.999","10136000.000","12310282.533","2483320.000","7894873.103"
"2000000031","02","01","00040","08","10","31331831.353","2388500.001","9554000.000","8790202.991","2675120.000","7924008.361"
"2000000032","05","03","00025","07","10","135064381.892","9300999.999","93009999.990","16006206.739","6510700.000","10236475.164"
"2000000033","01","01","00025","02","21","21604045.637","307600.000","6152000.000","7005557.670","3076000.000","5062887.967"
"2000000034","05","04","00035","07","30","262610837.889","14257500.000","95050000.000","84694320.226","37069500.000","31539517.663"
"2000000035","05","03","00020","07","36","173075549.099","2417500.000","48350000.000","58024232.663","24175000.000","40108816.436"
"2000000036","02","02","00040","07","54","45039140.781","1860900.000","12406000.000","14286000.326","6203000.000","10283240.455"
"2000000037","01","02","00059","02","24","16341965.045","1045500.000","6970000.000","6618815.045","1707650.000",""
"2000000038","02","02","00030","09","36","49829595.586","6332000.000","31660000.000","5221781.426","3166000.000","3449814.160"
"2000000039","04","03","00029","07","10","74462607.235","3578400.000","23856000.000","25725791.146","11928000.000","9374416.089"
"2000000041","03","02","00039","03","10","69022935.560","808600.000","16172000.000","34688753.212","3962140.000","13391442.348"
"2000000042","04","02","00050","07","46","74682639.075","9479000.000","47395000.000","7878947.655","4739500.000","5190191.420"
"2000000043","02","02","00045","05","01","33612583.304","414399.999","8288000.000","13891707.350","4144000.000","6874475.955"
"2000000044","04","03","00025","09","10","92473151.330","6022000.000","24088000.000","35773642.799","6744640.000","19844868.531"
"2000000045","01","02","00039","06","54","27692175.689","1753200.000","11688000.000","11387415.689","2863560.000",""
"2000000046","01","01","00060","07","01","11617673.834","885999.999","3544000.000","3238345.395","992320.000","2957008.440"
"2000000047","02","02","00040","13","36","38573983.392","3731500.000","14926000.000","14095343.392","5821140.000",""
"2000000048","02","02","00040","04","01","39277191.613","588500.000","10593000.000","13782384.119","5885000.000","8428307.494"
"2000000049","01","02","00035","11","54","23739605.103","910800.000","6072000.000","12164910.129","2914560.000","1677334.974"
"2000000050","01","01","00060","13","31","14726834.593","1015500.000","10155000.000","1745541.557","710850.000","1099943.036"
"2000000051","03","02","00049","07","44","62237262.818","740600.000","14812000.000","30967327.912","3628940.000","12088394.906"
"2000000052","03","02","00030","06","36","69762370.519","4806999.999","48069999.999","8134234.371","3364900.000","5386236.150"
"2000000053","06","04","00029","01","63","390679407.442","27128000.000","108512000.000","121438334.046","43404800.000","90196273.396"
"2000000054","06","03","00020","04","10","317571595.412","24307500.000","97230000.000","87743533.566","27224400.000","81066161.846"
"2000000055","01","02","00039","07","01","27230136.548","1460700.000","9738000.000","9005565.835","3797820.000","3228050.713"
"2000000056","02","02","00030","06","01","32674248.486","514800.000","10296000.000","11456167.581","2522520.000","7884760.905"
"2000000057","02","02","00050","08","01","45454746.015","4355000.000","17420000.000","16885946.015","6793800.000",""
"2000000058","03","02","00030","09","50","60506545.778","921000.000","16578000.000","20528218.116","9210000.000","13269327.662"
"2000000059","03","02","00025","01","10","59380488.019","7526000.000","37630000.000","6307638.502","3763000.000","4153849.517"
"2000000060","02","02","00045","07","27","49907396.024","6702000.000","26808000.000","5391325.271","","11006070.753"
"2000000061","03","02","00035","10","01","62569168.376","4536500.000","18146000.000","19570180.613","5080880.000","15235607.763"
"2000000062","04","03","00049","10","57","97481075.276","9306000.000","37224000.000","36433715.276","14517360.000",""
"2000000063","02","02","00040","08","01","45457346.467","3121500.000","31215000.000","5496975.459","2185050.000","3438821.008"
"2000000064","01","02","00049","08","50","23411974.606","1653500.000","6614000.000","6994659.227","2645600.000","5504215.379"
"2000000065","00","01","00030","09","61","8768933.646","139100.000","2782000.000","2873977.305","681590.000","2292266.341"
"2000000066","00","00","00050","07","31","1039674.034","68000.000","272000.000","363927.549","108800.000","226946.485"
"2000000067","03","02","00029","09","10","57000568.305","2681400.000","17876000.000","20674043.946","8938000.000","6831124.359"
"2000000068","05","03","00030","03","10","164775944.286","2494300.000","44897400.000","56825175.937","24943000.000","35616068.349"
"2000000069","04","03","00029","09","61","96427749.354","5180700.000","34538000.000","33012580.410","8461810.000","15234658.944"
"2000000070","03","02","00029","12","24","63579607.072","2029800.000","13532000.000","38227670.672","5277480.000","4512656.400"
"2000000071","03","02","00059","08","10","62447624.203","8247000.000","32988000.000","7543466.388","","13669157.815"
"2000000072","05","03","00049","09","10","274048226.812","18138000.000","72552000.000","94414597.848","29020800.000","59922828.964"
"2000000073","04","03","00029","07","41","92342908.942","1379000.001","27580000.000","26726910.197","13790000.000","22866998.744"
"2000000074","02","02","00069","08","10","41561748.349","2925500.000","11702000.000","11676736.247","5616960.000","9640552.102"
"2000000075","03","02","00039","10","46","57159770.210","2387100.000","15914000.000","17681657.951","7957000.000","13220012.259"
"2000000076","01","00","00049","07","57","17939055.370","279999.999","5600000.000","6294718.837","1372000.000","4392336.534"
"2000000077","01","00","00025","07","36","22958808.373","1431999.999","11456000.000","3475677.381","3436800.000","3158330.993"
"2000000078","06","06","00025","09","27","446774699.911","7125100.000","142502000.000","145146054.123","34912990.000","117088555.788"
"2000000079","00","00","00025","10","31","6101398.675","333900.000","2226000.000","2017164.750","545370.000","978963.925"
"2000000080","01","02","00049","07","10","27713832.044","444800.000","8896000.000","8824084.172","2179520.000","7369427.872"
"2000000081","06","03","00040","09","41","300661142.279","14523600.000","96824000.000","103642088.060","48412000.000","37259454.219"
"2000000082","02","02","00049","04","10","31855718.099","1594800.000","10632000.000","17024078.099","2604840.000",""
"2000000083","03","02","00035","07","01","65178601.588","3450500.001","27604000.000","18247904.010","8281200.000","7594997.577"
"2000000084","03","02","00030","07","21","53208020.630","2022300.000","13482000.000","27474479.882","6471360.000","3757880.748"
"2000000085","02","02","00045","08","10","33659027.735","549400.000","10988000.000","10379593.765","2692060.000","9049973.970"
"2000000086","04","02","00035","09","01","72052311.187","4395500.001","35164000.000","12258880.766","10549200.000","9684730.420"
"2000000087","02","02","00035","08","21","35366828.853","503400.000","10068000.000","11467593.915","5034000.000","8293834.938"
"2000000088","05","03","00055","08","50","139311293.229","5817000.000","38780000.000","43288720.469","19390000.000","32035572.760"
"2000000089","05","03","00029","09","01","240250215.517","18443000.001","73772000.000","66054572.385","20656160.000","61324483.131"
"2000000090","01","02","00029","02","50","22757939.642","332700.000","6654000.000","6891166.187","3327000.000","5553073.455"
"2000000091","03","02","00059","08","61","61887257.277","593800.000","10688400.000","36205145.974","5938000.000","8461911.303"
"2000000092","02","02","00040","09","21","32734285.001","3138000.000","12552000.000","12149005.001","4895280.000",""
"2000000093","07","05","00025","05","01","563868317.362","76694000.000","306776000.000","54038275.494","","126360041.868"
"2000000094","04","02","00029","03","01","72306824.694","2375100.000","15834000.000","39995761.688","7917000.000","6184963.006"
"2000000095","02","02","00040","06","31","39451355.992","2091000.000","13940000.000","12897519.343","6691200.000","3831636.649"
"2000000096","04","03","00045","07","10","90066144.443","6613500.000","26454000.000","27668348.751","7407120.000","21923175.692"
"2000000097","01","01","00025","08","50","27691233.437","441500.001","8830000.000","9453751.933","2163350.000","6802631.503"
"2000000098","02","03","00050","03","01","44078472.087","2384100.000","15894000.000","14964943.166","3894030.000","6941398.921"
"2000000099","06","05","00025","06","10","450671018.220","24418500.000","162790000.000","146493274.107","63488100.000","53481144.113"
"2000000100","05","04","00030","11","10","249917924.331","3716600.000","66898800.000","88214057.356","37166000.000","53922466.975"
"2000000101","03","02","00029","09","31","69403915.153","4084500.000","40845000.000","17137899.871","2859150.000","4477365.282"
"2000000102","06","04","00050","07","01","390588865.579","29841500.001","119366000.000","108938861.194","33422480.000","99020024.384"
"2000000103","02","02","00029","07","10","43413000.949","3022500.000","30225000.000","4699992.106","2115750.000","3349758.843"
"2000000104","06","05","00050","07","10","494320964.783","32299500.000","129198000.000","190654216.613","36175440.000","105993808.170"
"2000000105","03","02","00059","07","44","52160685.013","1519200.000","10128000.000","33604527.779","2481360.000","4427597.234"
"2000000106","01","02","00039","08","01","27709384.392","1502100.000","10014000.000","8653183.830","4806720.000","2733380.562"
"2000000107","03","02","00040","06","01","50426404.526","6779000.000","27116000.000","5288004.406","","11243400.120"
"2000000108","02","02","00030","10","46","36560480.445","2576500.000","10306000.000","10994256.665","4122400.000","8561323.780"
"2000000109","02","02","00059","10","50","41310416.201","2278800.000","15192000.000","13442900.376","3722040.000","6674675.825"
"2000000110","00","00","00030","07","57","4425035.937","239400.000","1596000.000","1390083.053","766080.000","433472.884"
"2000000111","02","02","00055","08","50","46355723.098","2685500.001","10742000.000","20896077.045","3007760.000","9024386.052"
"2000000112","05","03","00049","07","41","197792795.927","2869400.001","57388000.000","61794546.562","28694000.000","47046849.364"
"2000000113","01","01","00020","08","10","29542438.587","416900.000","8338000.000","9763569.702","4169000.000","6854968.885"
"2000000114","02","02","00040","11","41","31894235.292","450900.000","9018000.000","10420492.789","4509000.000","7495842.503"
"2000000115","02","02","00030","07","50","33788309.676","2601500.001","10406000.000","9265155.346","2913680.000","8601974.329"
"2000000116","02","03","00050","13","10","45862475.773","719799.999","14396000.000","16117953.737","3527020.000","11101702.037"
"2000000117","02","02","00029","08","01","45748949.862","2673500.001","26735000.001","11494159.113","1871450.000","2974840.747"
"2000000118","02","02","00060","08","27","32136072.974","1512300.000","10082000.000","11648027.942","5041000.000","3852745.032"
"2000000119","03","03","00035","09","36","67652959.965","2344500.000","15630000.000","38365311.651","6095700.000","5217448.314"
"2000000120","02","02","00035","09","10","40188300.920","2852000.000","11408000.000","11031555.595","5475840.000","9420905.325"
"2000000121","01","02","00025","13","10","24558471.340","1890999.999","7564000.000","6698220.789","2117920.000","6287330.552"
"2000000123","03","02","00050","08","10","67012729.526","8844000.000","35376000.000","8090188.055","","14702541.471"
"2000000124","01","01","00030","07","10","24527918.695","3053000.000","15265000.000","2984869.281","1526500.000","1698549.414"
"2000000125","05","03","00025","08","01","107173743.213","5620800.000","37472000.000","38404124.848","9180640.000","16496178.365"
"2000000126","05","04","00035","13","24","269100580.467","4136100.000","82722000.000","97928240.409","20266890.000","64047350.058"
"2000000127","01","02","00029","09","44","19228022.060","1793000.000","7172000.000","7465942.060","2797080.000",""
"2000000128","03","03","00029","01","10","69361559.864","2942100.000","19614000.000","20730809.490","9807000.000","16267650.374"
"2000000129","01","01","00035","04","01","16284288.103","1071000.000","4284000.000","6183484.478","1199520.000","3546283.625"
"2000000130","02","02","00040","07","01","36359683.734","4878000.000","19512000.000","4012487.702","","7957196.032"
"2000000131","05","04","00049","09","10","225509031.975","3308300.001","66166000.000","68481157.495","33083000.000","54470574.479"
"2000000132","05","03","00029","07","01","157672063.681","9637500.000","77100000.000","26163911.186","23130000.000","21640652.495"
"2000000133","01","01","00069","06","54","10928052.499","522900.000","3486000.000","6065082.499","854070.000",""
"2000000134","01","01","00025","08","54","13297462.274","820500.000","5470000.000","5666812.274","1340150.000",""
"2000000135","04","03","00039","08","10","98057628.215","7109000.000","28436000.000","31207259.608","7962080.000","23343288.607"
"2000000136","00","01","00035","09","10","7974252.580","425100.000","2834000.000","2579724.541","1360320.000","775108.039"
"2000000137","01","01","00039","11","01","23915373.750","361200.000","6501600.000","8298451.780","3612000.000","5142121.970"
"2000000138","05","03","00060","08","50","164198987.094","10666000.000","42664000.000","94230027.094","16638960.000",""
"2000000139","03","02","00030","05","10","60285779.531","7639000.000","38195000.000","6411799.174","3819500.000","4220480.357"
"2000000140","02","02","00040","11","10","45495307.724","671600.001","13432000.000","13648696.418","6716000.000","11027011.305"
"2000000141","05","03","00025","03","27","150953714.646","8150400.000","54336000.000","47375968.391","26081280.000","15010066.255"
"2000000142","03","02","00025","13","10","54658421.717","804600.000","16092000.000","16501724.842","8046000.000","13214096.875"
"2000000143","02","01","00029","07","01","40643150.212","499700.001","9994000.000","16783445.465","4997000.000","8369004.746"
"2000000144","03","02","00020","03","01","54859413.248","864000.000","17280000.000","18272303.076","4233600.000","14209510.172"
"2000000145","01","02","00029","01","57","25228495.555","2434000.000","9736000.000","9261455.555","3797040.000",""
"2000000146","03","02","00050","07","31","50472300.230","1698900.000","11326000.000","27425931.732","5663000.000","4358468.498"
"2000000147","02","01","00035","02","34","32235466.078","1358400.000","9056000.000","9816460.628","4528000.000","7476605.450"
"2000000149","02","02","00030","04","01","47725977.661","6067000.000","30335000.000","4985018.396","3033500.000","3305459.265"
