"그룹회사코드","마이데이터고객식별자","기준년월일","금융자산집계금액","비금융자산집계금액","부채집계금액","현금자산집계금액","예금자산집계금액","투자자산집계금액","보험자산집계금액","연금자산집계금액","전월대비금융자산증감비율","시스템최종처리일시","시스템최종사용자번호"
KB0,"2000000000","20210826",24325454.653,,,1702500.000,6810000.000,6861365.464,3268800.000,5682789.189,-18.66000,"2021-08-26 20:24:36",S016217
KB0,"2000000001","20210825",77968537.163,,,4217000.001,33736000.000,20603236.230,10120800.000,9291500.932,-2.24000,"2021-08-26 20:24:36",S016217
KB0,"2000000002","20210826",26568558.869,,,324200.001,6484000.000,11203996.265,3242000.000,5314362.603,-6.64000,"2021-08-26 20:24:36",S016217
KB0,"2000000003","20210826",29630627.794,,,1896600.000,12644000.000,11992247.794,3097780.000,,-29.93000,"2021-08-26 20:24:36",S016217
KB0,"2000000004","20210826",274992498.061,,,21110000.001,84440000.000,75742822.260,23643200.000,70056475.800,-19.82000,"2021-08-26 20:24:36",S016217
KB0,"2000000005","20210826",210436167.217,,,19991000.000,79964000.000,79295207.217,31185960.000,,-26.32000,"2021-08-26 20:24:36",S016217
KB0,"2000000006","20210826",15329562.266,,,1000000.000,4000000.000,5907847.566,1120000.000,3301714.700,-13.40000,"2021-08-26 20:24:36",S016217
KB0,"2000000007","20210826",139569897.636,,,8974500.000,35898000.000,80697177.636,14000220.000,,3.24000,"2021-08-26 20:24:36",S016217
KB0,"2000000008","20210826",27635220.897,,,1955500.000,7822000.000,7665533.338,3754560.000,6437627.559,-19.94000,"2021-08-26 20:24:36",S016217
KB0,"2000000009","20210826",292406443.404,,,4089500.000,81790000.000,97783126.700,40895000.000,67848816.704,-21.44000,"2021-08-26 20:24:36",S016217
KB0,"2000000010","20210826",67478482.631,,,4778500.000,19114000.000,20219101.804,7645600.000,15721280.827,-22.24000,"2021-08-26 20:24:36",S016217
KB0,"2000000011","20210826",639600.000,,,639600.000,,,,,0.00000,"2021-08-26 20:24:36",S016217
KB0,"2000000012","20210826",38748616.590,,,2763500.000,11054000.000,10569223.860,5305920.000,9055972.730,-20.29000,"2021-08-26 20:24:36",S016217
KB0,"2000000013","20210826",29107714.778,,,3676000.000,18380000.000,3194902.252,1838000.000,2018812.526,-8.93000,"2021-08-26 20:24:36",S016217
KB0,"2000000014","20210826",40644746.146,,,476700.000,9534000.000,20484743.729,2335830.000,7813472.417,1.57000,"2021-08-26 20:24:36",S016217
KB0,"2000000015","20210826",7515022.946,,,528500.000,2114000.000,2280239.492,845600.000,1746683.454,-21.13000,"2021-08-26 20:24:36",S016217
