"그룹회사코드","마이데이터고객식별자","관심선택고객식별자","등록일시","시스템최종처리일시","시스템최종사용자번호"
KB0,"2000000001","2000000006","20210927161813","2021-09-27 16:18:13",SYSTEM
KB0,"2000000003","2000000001","20210927181305","2021-09-27 18:13:05",SYSTEM
KB0,"2000000004","2000000006","20210927104910","2021-09-27 10:49:10",SYSTEM
KB0,"2000000005","2000000006","20210713102900","2021-08-09 10:45:50","1651135"
KB0,"2000000006","2000000004","20210927162957","2021-09-27 16:29:57",SYSTEM
KB0,"2000000006","2000000008","20210713102900","2021-08-06 18:56:22","1651135"
KB0,"2000000006","2000000011","20210713102900","2021-07-13 18:56:49","1651135"
KB0,"2000000006","2000000023","20210713102900","2021-07-13 18:56:49","1651135"
KB0,"2000000006","2000000044","20210713102900","2021-07-13 18:56:49","1651135"
KB0,"2000000006","2000000045","20210713102900","2021-07-13 18:56:49","1651135"
KB0,"2000000006","2000000065","20210713102900","2021-07-13 18:56:49","1651135"
KB0,"2000000006","2000000111","20210713102900","2021-08-09 09:45:16","1651135"
KB0,"2000000006","2000000112","20210713102900","2021-08-09 09:45:17","1651135"
KB0,"2000000006","2000000113","20210713102900","2021-08-09 09:45:18","1651135"
KB0,"2000000006","2000000114","20210713102900","2021-08-09 09:45:19","1651135"
KB0,"2000000006","2000000123","20210713102900","2021-07-13 18:56:50","1651135"
KB0,"2000000006","2000000134","20210713102900","2021-07-13 18:56:50","1651135"
KB0,"2000000006","2000000345","20210713102900","2021-07-13 18:56:50","1651135"
KB0,"2000000006","2000000567","20210713102900","2021-07-13 18:56:49","1651135"
KB0,"2000000008","2000000006","20210927104957","2021-09-27 10:49:57",SYSTEM
KB0,"2000000009","2000000006","20210713102900","2021-08-09 10:45:51","1651135"
KB0,"2000000010","2000000006","20210713102900","2021-08-09 10:45:52","1651135"
KB0,"2000000011","2000000006","20210713102900","2021-08-09 10:45:52","1651135"
KB0,"2000000012","2000000006","20210713102900","2021-08-09 10:45:53","1651135"
KB0,"2000000342","2000000001","20210916164841","2021-09-16 16:48:41",SYSTEM
KB0,"2000000388","2000000003","20210927162419","2021-09-27 16:24:19",SYSTEM
KB0,"2000000518","2000000001","20210916172019","2021-09-16 17:20:19",SYSTEM
KB0,"2000000518","2000000002","20211007170536","2021-10-07 17:05:36",SYSTEM
KB0,"2000000518","2000000003","20210927162617","2021-09-27 16:26:17",SYSTEM
KB0,"2000000563","2000000002","20211007175818","2021-10-07 17:58:18",SYSTEM
KB0,"2000000775","2000000001","20210831154523","2021-08-31 15:45:23",SYSTEM
KB0,"2000000902","2000000001","20210915124931","2021-09-15 12:49:31",SYSTEM
KB0,"2000000917","2000000002","20211007171042","2021-10-07 17:10:42",SYSTEM
KB0,"2000000917","2000000003","20211008151222","2021-10-08 15:12:22",SYSTEM
KB0,"2000001275","2000000001","20210916170952","2021-09-16 17:09:52",SYSTEM
KB0,"2000001385","2000000005","20210927103032","2021-09-27 10:30:32",SYSTEM
KB0,"2000001545","2000000002","20210927112535","2021-09-27 11:25:35",SYSTEM
KB0,"2000001585","2000000005","20210927104105","2021-09-27 10:41:05",SYSTEM
KB0,"2000001608","2000000005","20210927162127","2021-09-27 16:21:27",SYSTEM
KB0,"2000001712","2000000005","20210927102027","2021-09-27 10:20:27",SYSTEM
KB0,"2000001712","2000000007","20210927141931","2021-09-27 14:19:31",SYSTEM
