"그룹회사코드","마이데이터고객식별자","댓글그룹일련번호","댓글일련번호","댓글작성고객식별자","댓글내용","등록일시","비밀댓글여부","신고자수","삭제여부","댓글작성자별명","시스템최종처리일시","시스템최종사용자번호"
KB0,"2000000000",1,0,"2000000001",ㅍㅍㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊ츄투투투투투투투투투ㅜ투투투투투퉅투투투투 ㅜ추추투투투투투투투추추ㅜ투투투투ㅜ투투투퉅ㅌ,"20210727101316","0",0,"0",스톡홀름 다알리아,"20210727101316",SYSTEM
KB0,"2000000000",2,0,"2000000001",ㅍㅍㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅌㅌㅌㅌ츄투투투투투투투투투ㅜ투투투투ㅜ추추투투투투투투투추추ㅜ투투투투ㅜ투투투퉅ㅌ어아아ㅇ를르으ㅡ츠르ㅡ르르ㅜ룰,"20210727101804","0",0,"0",스톡홀름 다알리아,"20210727101804",SYSTEM
KB0,"2000000000",3,0,"2000000001",ㅍㅍㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅌㅌㅌㅌ츄투투투투투투투투투ㅜ투투투투ㅜ추추투투투투투투투추추ㅜ투투투투ㅜ투투투퉅ㅌ어아아ㅇ를르으ㅡ츠르ㅡ르르ㅜ룰,"20210727101809","0",0,"0",스톡홀름 다알리아,"20210727101809",SYSTEM
KB0,"2000000000",4,0,"2000000002",qq,"20210727103440","0",2,"0",더반 악바르 대제,"20210727103440",SYSTEM
KB0,"2000000000",5,0,"2000000002",e,"20210818153816","0",1,"0",건물주,"20210818153816",SYSTEM
KB0,"2000000000",5,1,"2000000001",ㅡㅡㅡ,"20210819182133","0",0,"0",AjakLl,"20210819182133",SYSTEM
KB0,"2000000000",6,0,"2000000002","111","20210818153852","0",0,"0",건물주,"20210818153852",SYSTEM
KB0,"2000000000",7,0,"2000000001",ㅁㅊㄴ,"20210819182139","0",0,"0",AjakLl,"20210819182139",SYSTEM
KB0,"2000000001",1,0,"2000000001",축하해요,"20210726145659","0",0,"0",스톡홀름 다알리아,"20210726145659",SYSTEM
KB0,"2000000001",1,1,"2000000001",고마워요,"20210813174911","0",0,"0",$&pound;^^&gt;$*,"20210813174911",SYSTEM
KB0,"2000000001",2,0,"2000000001",가나다라마바사,"20210727143758","0",0,"0",스톡홀름 다알리아,"20210727143758",SYSTEM
KB0,"2000000001",3,0,"2000000001","12345","20210727145100","0",0,"0",스톡홀름 다알리아,"20210727145100",SYSTEM
KB0,"2000000001",4,0,"2000000001",가나다라마바사,"20210727154348","0",0,"0",스톡홀름 다알리아,"20210727154348",SYSTEM
KB0,"2000000001",5,0,"2000000001",가나답ㅂ34343,"20210727155131","1",0,"0",스톡홀름 다알리아,"20210727155131",SYSTEM
KB0,"2000000001",6,0,"2000000001",가나다라마바사아아아아아아,"20210727155146","0",0,"0",스톡홀름 다알리아,"20210727155146",SYSTEM
KB0,"2000000001",7,0,"2000000001",등록합니다.,"20210727155235","0",0,"0",스톡홀름 다알리아,"20210727155235",SYSTEM
KB0,"2000000001",7,1,"2000000001",aaaa,"20210730170942","0",0,"0",스톡홀름 다알리아,"20210730170942",SYSTEM
KB0,"2000000001",7,2,"2000000001",aaaa,"20210730170946","0",0,"0",스톡홀름 다알리아,"20210730170946",SYSTEM
KB0,"2000000001",7,3,"2000000001",bbbb,"20210730170949","0",0,"0",스톡홀름 다알리아,"20210730170949",SYSTEM
KB0,"2000000001",8,0,"2000000001",등록합니다,"20210727155318","0",0,"0",스톡홀름 다알리아,"20210727155318",SYSTEM
KB0,"2000000001",9,0,"2000000001",가나마아아아아,"20210727155647","0",0,"0",스톡홀름 다알리아,"20210727155647",SYSTEM
KB0,"2000000001",10,0,"2000000001",비밀댓글입니다.,"20210727161609","1",0,"0",스톡홀름 다알리아,"20210727161609",SYSTEM
KB0,"2000000001",11,0,"2000000001",등록해봅니다.,"20210727161718","0",0,"0",스톡홀름 다알리아,"20210727161718",SYSTEM
KB0,"2000000001",12,0,"2000000001",가나다라마바사,"20210727161756","0",0,"0",스톡홀름 다알리아,"20210727161756",SYSTEM
KB0,"2000000001",13,0,"2000000001",값이 들어갑니다.,"20210727163442","1",0,"0",스톡홀름 다알리아,"20210727163442",SYSTEM
KB0,"2000000001",14,0,"2000000001",값이들어옵니다.,"20210727163507","0",0,"0",스톡홀름 다알리아,"20210727163507",SYSTEM
KB0,"2000000001",15,0,"2000000001",값이 들어갑니다!,"20210727163631","0",0,"0",스톡홀름 다알리아,"20210727163631",SYSTEM
KB0,"2000000001",16,0,"2000000001",가나,"20210727165513","0",0,"0",스톡홀름 다알리아,"20210727165513",SYSTEM
KB0,"2000000001",17,0,"2000000003","호ㅠ
ㄴ
ㄴ
ㄴ
ㄴ
ㄴ
ㄴ

ㄴ
ㄴ

ㄴ커컼","20210728153349","1",2,"0",헬싱키 참제비고깔,"20210728153349",SYSTEM
KB0,"2000000001",18,0,"2000000001","본
ㄴ","20210728182028","0",0,"0",스톡홀름 다알리아,"20210728182028",SYSTEM
KB0,"2000000001",18,1,"2000000001",ㅁㅋㅋ,"20210728182103","0",0,"0",스톡홀름 다알리아,"20210728182103",SYSTEM
KB0,"2000000001",23,0,"2000000001",ㅅㄱ,"20210728184817","1",0,"0",스톡홀름 다알리아,"20210728184817",SYSTEM
KB0,"2000000001",25,0,"2000000001",안녕하세요,"20210729171159","1",0,"0",스톡홀름 다알리아,"20210729171159",SYSTEM
KB0,"2000000001",26,0,"2000000001",안녕하세요오,"20210729171934","0",0,"0",스톡홀름 다알리아,"20210729171934",SYSTEM
KB0,"2000000001",26,1,"2000000001","ㅁ

ㅁ

ㅁ","20210730144241","0",0,"0",스톡홀름 다알리아,"20210730144241",SYSTEM
KB0,"2000000001",27,0,"2000000001","1
2
3","20210730144254","0",0,"0",스톡홀름 다알리아,"20210730144254",SYSTEM
KB0,"2000000001",28,0,"2000000001","0
9
8","20210730144304","0",0,"0",스톡홀름 다알리아,"20210730144304",SYSTEM
KB0,"2000000001",29,0,"2000000001",ㅁ,"20210730144702","0",0,"0",스톡홀름 다알리아,"20210730144702",SYSTEM
KB0,"2000000001",30,0,"2000000001","2","20210730173210","0",0,"0",스톡홀름 다알리아,"20210730173210",SYSTEM
KB0,"2000000001",31,0,"2000000001","1
2
3","20210730173225","0",0,"0",스톡홀름 다알리아,"20210730173225",SYSTEM
KB0,"2000000001",32,0,"2000000001","4
1
2","20210730180920","0",0,"0",스톡홀름 다알리아,"20210730180920",SYSTEM
KB0,"2000000001",33,0,"2000000001","1
2
3","20210730180948","0",0,"0",스톡홀름 다알리아,"20210730180948",SYSTEM
KB0,"2000000001",34,0,"2000000001","1
2
E","20210730181536","0",0,"0",스톡홀름 다알리아,"20210730181536",SYSTEM
KB0,"2000000001",35,0,"2000000001","Q
2
3
4
3","20210730181637","0",0,"0",스톡홀름 다알리아,"20210730181637",SYSTEM
KB0,"2000000001",36,0,"2000000001","1","20210730181801","0",0,"0",스톡홀름 다알리아,"20210730181801",SYSTEM
KB0,"2000000001",37,0,"2000000001",Wuwu,"20210730181828","0",0,"0",스톡홀름 다알리아,"20210730181828",SYSTEM
KB0,"2000000001",38,0,"2000000001",ㅁ,"20210809111219","0",0,"0",}#%&lt;&gt;**&pound;,"20210809111219",SYSTEM
KB0,"2000000001",38,1,"2000000001",ㄱ,"20210809111226","0",0,"0",}#%&lt;&gt;**&pound;,"20210809111226",SYSTEM
KB0,"2000000001",39,0,"2000000001",Q,"20210817174519","0",0,"0",$&pound;^^&gt;$*,"20210817174519",SYSTEM
KB0,"2000000001",39,1,"2000000001",Q,"20210817174529","0",0,"0",$&pound;^^&gt;$*,"20210817174529",SYSTEM
KB0,"2000000001",40,0,"2000000001",ㅁㅊㄴ,"20210819135534","0",0,"0",AjakLl,"20210819135534",SYSTEM
KB0,"2000000001",41,0,"2000000001",별로,"20210819135545","0",0,"0",AjakLl,"20210819135545",SYSTEM
KB0,"2000000001",42,0,"2000000001",구려,"20210819135612","0",0,"0",AjakLl,"20210819135612",SYSTEM
KB0,"2000000001",42,1,"2000000001",완전 구려,"20210819135626","0",0,"0",AjakLl,"20210819135626",SYSTEM
KB0,"2000000001",43,0,"2000000001",ㅂㅅ,"20210819135730","1",0,"0",AjakLl,"20210819135730",SYSTEM
KB0,"2000000001",43,1,"2000000001",ㅂㅅㄱㅌㄴ,"20210819135739","0",0,"0",AjakLl,"20210819135739",SYSTEM
KB0,"2000000001",43,3,"2000000001",ㅂㅅ,"20210819135937","0",0,"0",AjakLl,"20210819135937",SYSTEM
KB0,"2000000001",43,4,"2000000001",ㅂㅅ,"20210819135941","0",0,"0",AjakLl,"20210819135941",SYSTEM
KB0,"2000000001",43,5,"2000000001",ㅂㅅ,"20210819135944","0",0,"0",AjakLl,"20210819135944",SYSTEM
KB0,"2000000001",43,6,"2000000001",ㅂㅅ,"20210819135949","0",0,"0",AjakLl,"20210819135949",SYSTEM
KB0,"2000000001",43,7,"2000000001",ㅂㅅ,"20210819135951","0",0,"0",AjakLl,"20210819135951",SYSTEM
KB0,"2000000001",43,8,"2000000001",ㅂㅅ,"20210819135956","0",0,"0",AjakLl,"20210819135956",SYSTEM
KB0,"2000000001",43,9,"2000000001",ㅂㅅ,"20210819140022","0",0,"0",AjakLl,"20210819140022",SYSTEM
KB0,"2000000001",44,0,"2000000002",떡사세요,"20210820174002","0",0,"0",건물주,"20210820174002",SYSTEM
KB0,"2000000001",45,0,"2000000001",기,"20210909183043","0",0,"0",ㅋㄲ☺☺☺,"20210909183043",SYSTEM
KB0,"2000000001",46,0,"2000000001",khkjhkjdf,"20210910153829","0",0,"0",undefined,"20210910153829",SYSTEM
KB0,"2000000001",47,0,"2000000001","2134","20210910154452","0",0,"0",ㅋㄲ   <>&?,"20210910154452",SYSTEM
KB0,"2000000001",48,0,"2000000001",댓글 추가.,"20210917143212","0",0,"0","7878","20210917143212",SYSTEM
KB0,"2000000001",48,1,"2000000001",답글,"20210917143224","0",0,"0","7878","20210917143224",SYSTEM
KB0,"2000000001",48,2,"2000000001",test001,"20211018111433","0",0,"0",test001,"20211018111433302664",SYSTEM
KB0,"2000000001",49,0,"2000000001",Mobile test,"20211018133152","1",0,"0",test001,"20211018133152787522",SYSTEM
KB0,"2000000002",1,0,"2000000002",q,"20210818151947","0",0,"0",건물주,"20210818151947",SYSTEM
KB0,"2000000002",1,1,"2000000002",하하하,"20210820150025","0",6,"0",건물주,"20210820150025",SYSTEM
KB0,"2000000002",1,2,"2000000002",굿잡,"20210820150032","1",6,"0",건물주,"20210820150032",SYSTEM
KB0,"2000000002",1,3,"2000000003",안녕,"20210820151435","0",0,"0",헬싱키 참제비고깔,"20210820151435",SYSTEM
KB0,"2000000002",1,4,"2000000003",안녕,"20210820151449","1",0,"0",헬싱키 참제비고깔,"20210820151449",SYSTEM
KB0,"2000000002",2,0,"2000000002","2","20210818152228","0",0,"0",건물주,"20210818152228",SYSTEM
KB0,"2000000002",3,0,"2000000002",rt,"20210818152334","0",0,"0",건물주,"20210818152334",SYSTEM
KB0,"2000000002",4,0,"2000000002",rt,"20210818152336","0",0,"0",건물주,"20210818152336",SYSTEM
KB0,"2000000002",5,0,"2000000002",f,"20210818153032","0",0,"0",건물주,"20210818153032",SYSTEM
KB0,"2000000002",6,0,"2000000002",cc,"20210818153545","0",0,"0",건물주,"20210818153545",SYSTEM
KB0,"2000000002",7,0,"2000000002",c,"20210818154340","0",0,"0",건물주,"20210818154340",SYSTEM
KB0,"2000000002",7,1,"2000000004",오키,"20210819182413","0",0,"0",돈,"20210819182413",SYSTEM
KB0,"2000000002",8,0,"2000000004",돗자리,"20210819182343","0",0,"0",돈,"20210819182343",SYSTEM
KB0,"2000000002",8,1,"2000000004",ㄹㄷ장수긴ㅂㄴ,"20210819182406","0",0,"0",돈,"20210819182406",SYSTEM
KB0,"2000000002",9,0,"2000000002","1","20210820154304","0",0,"0",건물주,"20210820154304",SYSTEM
KB0,"2000000002",9,1,"2000000002","2","20210820154318","0",0,"0",건물주,"20210820154318",SYSTEM
KB0,"2000000002",10,0,"2000000002","3","20210820154718","0",0,"0",건물주,"20210820154718",SYSTEM
KB0,"2000000002",11,0,"2000000002","2","20210820155639","0",0,"0",건물주,"20210820155639",SYSTEM
KB0,"2000000002",12,0,"2000000002","2","20210820155827","0",0,"0",건물주,"20210820155827",SYSTEM
KB0,"2000000002",13,0,"2000000002","33","20210823090405","0",0,"0",인절미 3팩 만원,"20210823090405",SYSTEM
KB0,"2000000002",13,1,"2000000007",짱구는 짱,"20210827170501","1",0,"0",별명기억안,"20210827170501",SYSTEM
KB0,"2000000002",14,0,"2000000007",ㅐ,"20210823154337","0",0,"0",별명기억안,"20210823154337",SYSTEM
