"그룹회사코드","마이데이터고객식별자","기준년월일","포트폴리오자산부채대분류구분","포트폴리오자산부채중분류구분","포트폴리오자산부채소분류구분","기관코드","집계금액","시스템최종처리일시","시스템최종사용자번호"
KB0,"2000000000","20210826","10","1010","101010","999999",1702500.000,"2021-08-27 01:00",S016217
KB0,"2000000000","20210826","10","1020","102010","999999",2043000.000,"2021-08-27 01:00",S016217
KB0,"2000000000","20210826","10","1020","102020","999999",4767000.000,"2021-08-27 01:00",S016217
KB0,"2000000000","20210826","10","1030","103010","999999",1273122.741,"2021-08-27 01:00",S016217
KB0,"2000000000","20210826","10","1030","103040","999999",3433493.114,"2021-08-27 01:00",S016217
KB0,"2000000000","20210826","10","1030","103050","999999",2154749.609,"2021-08-27 01:00",S016217
KB0,"2000000000","20210826","10","1040","104010","999999",544800.000,"2021-08-27 01:00",S016217
KB0,"2000000000","20210826","10","1040","104020","999999",2724000.000,"2021-08-27 01:00",S016217
KB0,"2000000000","20210826","10","1050","105010","999999",5304291.596,"2021-08-27 01:00",S016217
KB0,"2000000000","20210826","10","1050","105020","999999",378497.593,"2021-08-27 01:00",S016217
KB0,"2000000001","20210826","10","1010","101010","999999",4217000.001,"2021-08-27 01:00",S016217
KB0,"2000000001","20210826","10","1020","102010","999999",25302000.000,"2021-08-27 01:00",S016217
KB0,"2000000001","20210826","10","1020","102020","999999",8434000.000,"2021-08-27 01:00",S016217
KB0,"2000000001","20210826","10","1030","103030","999999",3358402.259,"2021-08-27 01:00",S016217
KB0,"2000000001","20210826","10","1030","103040","999999",5534303.367,"2021-08-27 01:00",S016217
KB0,"2000000001","20210826","10","1030","103050","999999",11710530.604,"2021-08-27 01:00",S016217
KB0,"2000000001","20210826","10","1040","104010","999999",10120800.000,"2021-08-27 01:00",S016217
KB0,"2000000001","20210826","10","1050","105010","999999",9291500.932,"2021-08-27 01:00",S016217
KB0,"2000000002","20210826","10","1010","101010","999999",324200.001,"2021-08-27 01:00",S016217
KB0,"2000000002","20210826","10","1020","102010","999999",5187200.000,"2021-08-27 01:00",S016217
KB0,"2000000002","20210826","10","1020","102020","999999",1296800.000,"2021-08-27 01:00",S016217
