"그룹회사코드","마이데이터고객식별자","기준년월","포트폴리오자산부채대분류구분","포트폴리오자산부채중분류구분","포트폴리오자산부채소분류구분","기관코드","집계금액","시스템최종처리일시","시스템최종사용자번호"
KB0,"2000000000","202107","10","1010","101010","999999",1702500.000,"2021-08-01 10:00",S016217
KB0,"2000000000","202107","10","1020","102010","999999",2043000.000,"2021-08-01 10:00",S016217
KB0,"2000000000","202107","10","1020","102020","999999",4767000.000,"2021-08-01 10:00",S016217
KB0,"2000000000","202107","10","1030","103010","999999",2332015.161,"2021-08-01 10:00",S016217
KB0,"2000000000","202107","10","1030","103040","999999",6556099.908,"2021-08-01 10:00",S016217
KB0,"2000000000","202107","10","1030","103050","999999",3993686.534,"2021-08-01 10:00",S016217
KB0,"2000000000","202107","10","1040","104010","999999",544800.000,"2021-08-01 10:00",S016217
KB0,"2000000000","202107","10","1040","104020","999999",2724000.000,"2021-08-01 10:00",S016217
KB0,"2000000000","202107","10","1050","105010","999999",4897176.687,"2021-08-01 10:00",S016217
KB0,"2000000000","202107","10","1050","105020","999999",345984.222,"2021-08-01 10:00",S016217
KB0,"2000000001","202107","10","1010","101010","999999",4217000.001,"2021-08-01 10:00",S016217
KB0,"2000000001","202107","10","1020","102010","999999",25302000.000,"2021-08-01 10:00",S016217
KB0,"2000000001","202107","10","1020","102020","999999",8434000.000,"2021-08-01 10:00",S016217
KB0,"2000000001","202107","10","1030","103030","999999",7049571.288,"2021-08-01 10:00",S016217
KB0,"2000000001","202107","10","1030","103040","999999",10521780.387,"2021-08-01 10:00",S016217
KB0,"2000000001","202107","10","1030","103050","999999",5486810.608,"2021-08-01 10:00",S016217
KB0,"2000000001","202107","10","1040","104010","999999",10120800.000,"2021-08-01 10:00",S016217
KB0,"2000000001","202107","10","1050","105010","999999",8621260.127,"2021-08-01 10:00",S016217
KB0,"2000000002","202107","10","1010","101010","999999",324200.001,"2021-08-01 10:00",S016217
KB0,"2000000002","202107","10","1020","102010","999999",5187200.000,"2021-08-01 10:00",S016217
KB0,"2000000002","202107","10","1020","102020","999999",1296800.000,"2021-08-01 10:00",S016217
KB0,"2000000002","202107","10","1030","103010","999999",2072200.614,"2021-08-01 10:00",S016217
KB0,"2000000002","202107","10","1030","103040","999999",7890495.174,"2021-08-01 10:00",S016217
KB0,"2000000002","202107","10","1030","103050","999999",3484781.841,"2021-08-01 10:00",S016217
KB0,"2000000002","202107","10","1040","104020","999999",2269400.000,"2021-08-01 10:00",S016217
KB0,"2000000002","202107","10","1040","104030","999999",972600.000,"2021-08-01 10:00",S016217
KB0,"2000000002","202107","10","1050","105010","999999",1328233.467,"2021-08-01 10:00",S016217
KB0,"2000000002","202107","10","1050","105020","999999",3630853.334,"2021-08-01 10:00",S016217
KB0,"2000000003","202107","10","1010","101010","999999",1896600.000,"2021-08-01 10:00",S016217
KB0,"2000000003","202107","10","1020","102010","999999",10115200.000,"2021-08-01 10:00",S016217
KB0,"2000000003","202107","10","1020","102020","999999",2528800.000,"2021-08-01 10:00",S016217
KB0,"2000000003","202107","10","1030","103010","999999",3265902.817,"2021-08-01 10:00",S016217
KB0,"2000000003","202107","10","1030","103040","999999",14782177.305,"2021-08-01 10:00",S016217
KB0,"2000000003","202107","10","1030","103050","999999",6601792.941,"2021-08-01 10:00",S016217
KB0,"2000000003","202107","10","1040","104020","999999",3097780.000,"2021-08-01 10:00",S016217
KB0,"2000000004","202107","10","1010","101010","999999",21110000.001,"2021-08-01 10:00",S016217
KB0,"2000000004","202107","10","1020","102010","999999",33776000.000,"2021-08-01 10:00",S016217
KB0,"2000000004","202107","10","1020","102020","999999",50664000.000,"2021-08-01 10:00",S016217
KB0,"2000000004","202107","10","1030","103010","999999",29222589.775,"2021-08-01 10:00",S016217
KB0,"2000000004","202107","10","1030","103040","999999",91238534.805,"2021-08-01 10:00",S016217
KB0,"2000000004","202107","10","1030","103050","999999",28836079.363,"2021-08-01 10:00",S016217
KB0,"2000000004","202107","10","1040","104020","999999",23643200.000,"2021-08-01 10:00",S016217
KB0,"2000000004","202107","10","1050","105010","999999",55881221.006,"2021-08-01 10:00",S016217
KB0,"2000000004","202107","10","1050","105020","999999",8579993.699,"2021-08-01 10:00",S016217
KB0,"2000000005","202107","10","1010","101010","999999",19991000.000,"2021-08-01 10:00",S016217
KB0,"2000000005","202107","10","1020","102010","999999",23989200.000,"2021-08-01 10:00",S016217
KB0,"2000000005","202107","10","1020","102020","999999",55974800.000,"2021-08-01 10:00",S016217
KB0,"2000000005","202107","10","1030","103010","999999",19692358.036,"2021-08-01 10:00",S016217
KB0,"2000000005","202107","10","1030","103040","999999",98632224.101,"2021-08-01 10:00",S016217
KB0,"2000000005","202107","10","1030","103050","999999",36124046.355,"2021-08-01 10:00",S016217
KB0,"2000000005","202107","10","1040","104010","999999",8796040.000,"2021-08-01 10:00",S016217
KB0,"2000000005","202107","10","1040","104020","999999",22389920.000,"2021-08-01 10:00",S016217
KB0,"2000000006","202107","10","1010","101010","999999",1000000.000,"2021-08-01 10:00",S016217
KB0,"2000000006","202107","10","1020","102010","999999",2000000.000,"2021-08-01 10:00",S016217
KB0,"2000000006","202107","10","1020","102020","999999",2000000.000,"2021-08-01 10:00",S016217
KB0,"2000000006","202107","10","1030","103010","999999",1636188.338,"2021-08-01 10:00",S016217
KB0,"2000000006","202107","10","1030","103030","999999",1787559.593,"2021-08-01 10:00",S016217
KB0,"2000000006","202107","10","1030","103040","999999",3877224.869,"2021-08-01 10:00",S016217
KB0,"2000000006","202107","10","1030","103050","999999",1214587.895,"2021-08-01 10:00",S016217
KB0,"2000000006","202107","10","1040","104020","999999",1120000.000,"2021-08-01 10:00",S016217
KB0,"2000000006","202107","10","1050","105010","999999",2246608.949,"2021-08-01 10:00",S016217
KB0,"2000000006","202107","10","1050","105020","999999",818576.907,"2021-08-01 10:00",S016217
KB0,"2000000007","202107","10","1010","101010","999999",8974500.000,"2021-08-01 10:00",S016217
KB0,"2000000007","202107","10","1020","102010","999999",10769400.000,"2021-08-01 10:00",S016217
KB0,"2000000007","202107","10","1020","102020","999999",25128600.000,"2021-08-01 10:00",S016217
KB0,"2000000007","202107","10","1030","103010","999999",9108291.578,"2021-08-01 10:00",S016217
KB0,"2000000007","202107","10","1030","103040","999999",44488301.194,"2021-08-01 10:00",S016217
KB0,"2000000007","202107","10","1030","103050","999999",22722977.089,"2021-08-01 10:00",S016217
KB0,"2000000007","202107","10","1040","104010","999999",3948780.000,"2021-08-01 10:00",S016217
KB0,"2000000007","202107","10","1040","104020","999999",10051440.000,"2021-08-01 10:00",S016217
KB0,"2000000008","202107","10","1010","101010","999999",1955500.000,"2021-08-01 10:00",S016217
KB0,"2000000008","202107","10","1020","102010","999999",2346600.000,"2021-08-01 10:00",S016217
KB0,"2000000008","202107","10","1020","102020","999999",5475400.000,"2021-08-01 10:00",S016217
KB0,"2000000008","202107","10","1030","103010","999999",2717787.237,"2021-08-01 10:00",S016217
KB0,"2000000008","202107","10","1030","103040","999999",7920179.702,"2021-08-01 10:00",S016217
KB0,"2000000008","202107","10","1030","103050","999999",4355654.986,"2021-08-01 10:00",S016217
